frame,id,x,y,width,height,xVelocity,yVelocity,xAcceleration,yAcceleration,laneId,precedingId,precedingX,precedingY,precedingXVelocity,precedingYVelocity,precedingXAcceleration,precedingYAcceleration
2,1,92.60881042,0.02421999,3.94,1.72,10.012803827258693,0.00023429960960061777,-9.858899636773089,0.011168746452660992,-999,-999,-999,-999,-999,-999,-999,-999
3,1,92.8087616,0.027350903,3.94,1.72,9.987596590681813,-0.02239072094031331,-1.2603618288440366,-1.1312510274956962,-999,-999,-999,-999,-999,-999,-999,-999
4,1,93.00782776,0.033481598,3.94,1.72,9.9517609183442,-0.06721299594300076,-1.7917836168805934,-2.2411137501343723,-999,-999,-999,-999,-999,-999,-999,-999
5,1,93.20611572,0.042828083,3.94,1.72,9.927031036030609,-0.13508698742872713,-1.2364941156795872,-3.3936995742863183,-999,-999,-999,-999,-999,-999,-999,-999
6,1,93.40419006,0.055005074,3.94,1.72,9.920944323135188,-0.22191588447326835,-0.3043356447710366,-4.341444852227061,-999,-999,-999,-999,-999,-999,-999,-999
7,1,93.60212708,0.06507206,3.94,1.72,9.887654381751792,-0.2889804460020494,-1.6644970691698013,-3.3532280764390534,-999,-999,-999,-999,-999,-999,-999,-999
8,1,93.79916382,0.072657108,3.94,1.72,9.841822530408418,-0.33088358453080297,-2.29159256716871,-2.0951569264376775,-999,-999,-999,-999,-999,-999,-999,-999
9,1,93.99531555,0.078644753,3.94,1.72,9.794495833868856,-0.3532147116731933,-2.3663348269781004,-1.1165563571195163,-999,-999,-999,-999,-999,-999,-999,-999
10,1,94.1905365,0.083580494,3.94,1.72,9.747541414076723,-0.36052050080801484,-2.3477209896066498,-0.3652894567410775,-999,-999,-999,-999,-999,-999,-999,-999
11,1,94.38485718,0.087798595,3.94,1.72,9.701606205165106,-0.35649306108992596,-2.2967604455808477,0.20137198590444438,-999,-999,-999,-999,-999,-999,-999,-999
12,1,94.57827759,0.092497826,3.94,1.72,9.657436530593907,-0.35112028001666806,-2.2084837285599512,0.26863905366289464,-999,-999,-999,-999,-999,-999,-999,-999
13,1,94.77079773,0.097797394,3.94,1.72,9.613429860265228,-0.34677216017356555,-2.200333516433961,0.2174059921551258,-999,-999,-999,-999,-999,-999,-999,-999
14,1,94.96243286,0.103519917,3.94,1.72,9.569505812319164,-0.34334024429995363,-2.196202397303182,0.17159579368059563,-999,-999,-999,-999,-999,-999,-999,-999
15,1,95.15318298,0.109540462,3.94,1.72,9.527125734959586,-0.34072221473668357,-2.119003867978897,0.13090147816350317,-999,-999,-999,-999,-999,-999,-999,-999
16,1,95.34307861,0.11577034,3.94,1.72,9.484671738499918,-0.3387132649317832,-2.1226998229834315,0.10044749024501753,-999,-999,-999,-999,-999,-999,-999,-999
17,1,95.532547,0.122323036,3.94,1.72,9.48363655824055,-0.33978394062414935,-0.0517590129684109,-0.05353378461830649,-999,-999,-999,-999,-999,-999,-999,-999
18,1,95.72253418,0.129258633,3.94,1.72,9.510278331747386,-0.34386285760556856,1.332088675341847,-0.20394584907096058,-999,-999,-999,-999,-999,-999,-999,-999
19,1,95.91345215,0.136586189,3.94,1.72,9.56162875409927,-0.35095170721485397,2.567521117594218,-0.3544424804642704,-999,-999,-999,-999,-999,-999,-999,-999
20,1,96.10539246,0.144265175,3.94,1.72,9.595465662154675,-0.35923586393557666,1.691845402770209,-0.41420783603613454,-999,-999,-999,-999,-999,-999,-999,-999
21,1,96.29788208,0.152225018,3.94,1.72,9.63520765601245,-0.3691214809238583,1.987099692888794,-0.49428084941408323,-999,-999,-999,-999,-999,-999,-999,-999
22,1,96.49105835,0.160262585,3.94,1.72,9.653419911238739,-0.3779449990305369,0.910612761314411,-0.44117590533392925,-999,-999,-999,-999,-999,-999,-999,-999
23,1,96.68449402,0.16836977,3.94,1.72,9.681809899514393,-0.3868038706021775,1.4194994137826988,-0.4429435785820307,-999,-999,-999,-999,-999,-999,-999,-999
24,1,96.87890625,0.176657677,3.94,1.72,9.73507803062434,-0.3968056138367608,2.6634065554973496,-0.5000871617291625,-999,-999,-999,-999,-999,-999,-999,-999
25,1,97.07424927,0.185141087,3.94,1.72,9.760086535028622,-0.4058755284895335,1.2504252202140798,-0.45349573263863685,-999,-999,-999,-999,-999,-999,-999,-999
26,1,97.2699585,0.193788052,3.94,1.72,9.803271101988223,-0.41578948917980435,2.159228347980058,-0.495698034513542,-999,-999,-999,-999,-999,-999,-999,-999
27,1,97.46665955,0.202548981,3.94,1.72,9.829089606871335,-0.42450535376006526,1.2909252441556163,-0.4357932290130456,-999,-999,-999,-999,-999,-999,-999,-999
28,1,97.66352844,0.211413383,3.94,1.72,9.85060340307333,-0.4326624690960842,1.075689810099778,-0.4078557668009464,-999,-999,-999,-999,-999,-999,-999,-999
29,1,97.86106873,0.22046423,3.94,1.72,9.88727834617358,-0.44156560531707817,1.8337471550124995,-0.44515681104969895,-999,-999,-999,-999,-999,-999,-999,-999
30,1,98.0597229,0.229732037,3.94,1.72,9.953651843625952,-0.452030940794057,3.3186748726185655,-0.5232667738489405,-999,-999,-999,-999,-999,-999,-999,-999
31,1,98.26013184,0.239244461,3.94,1.72,10.038193035636672,-0.46358560147282996,4.227059600535998,-0.5777330339386488,-999,-999,-999,-999,-999,-999,-999,-999
32,1,98.46170044,0.24889183,3.94,1.72,10.072338407440464,-0.47243150406989076,1.7072685901895923,-0.4422951298530403,-999,-999,-999,-999,-999,-999,-999,-999
33,1,98.66343689,0.258646965,3.94,1.72,10.094953340085924,-0.4804061888976036,1.1307466322730164,-0.3987342413856426,-999,-999,-999,-999,-999,-999,-999,-999
34,1,98.86587524,0.268590927,3.94,1.72,10.132548826092382,-0.48918956027233573,1.8797743003228895,-0.4391685687366059,-999,-999,-999,-999,-999,-999,-999,-999
35,1,99.06932068,0.278740883,3.94,1.72,10.18867253854055,-0.4990523035268778,2.8061856224083748,-0.49313716272710306,-999,-999,-999,-999,-999,-999,-999,-999
36,1,99.27424622,0.289113998,3.94,1.72,10.26886845635331,-0.5102670837772687,4.009795890638035,-0.5607390125195455,-999,-999,-999,-999,-999,-999,-999,-999
37,1,99.48074341,0.299649239,3.94,1.72,10.327992769039795,-0.5201260664660301,2.9562156343242663,-0.49294913443806987,-999,-999,-999,-999,-999,-999,-999,-999
38,1,99.6877594,0.310308933,3.94,1.72,10.359686428704421,-0.5283274840102364,1.5846829832312892,-0.41007087721031676,-999,-999,-999,-999,-999,-999,-999,-999
39,1,99.89582825,0.3211689,3.94,1.72,10.42748185589911,-0.5384728765900637,3.389771359734439,-0.5072696289913636,-999,-999,-999,-999,-999,-999,-999,-999
40,1,100.105835,0.332280159,3.94,1.72,10.521746400174024,-0.550224393523111,4.7132272137456965,-0.5875758466523662,-999,-999,-999,-999,-999,-999,-999,-999
41,1,100.317688,0.343626499,3.94,1.72,10.616766606250067,-0.5621850923911168,4.751010303802161,-0.5980349434002885,-999,-999,-999,-999,-999,-999,-999,-999
42,1,100.5313873,0.355153561,3.94,1.72,10.69211408759061,-0.572828396671094,3.7673740670271627,-0.5321652139988586,-999,-999,-999,-999,-999,-999,-999,-999
43,1,100.7456665,0.366809845,3.94,1.72,10.723205141515125,-0.5808465567609907,1.5545526962257306,-0.40090800449483766,-999,-999,-999,-999,-999,-999,-999,-999
44,1,100.960907,0.378649235,3.94,1.72,10.780305731135904,-0.5902974415956515,2.855029481038951,-0.4725442417330361,-999,-999,-999,-999,-999,-999,-999,-999
45,1,101.1772614,0.390679836,3.94,1.72,10.815906457388929,-0.598626141199094,1.780036312651223,-0.41643498017212566,-999,-999,-999,-999,-999,-999,-999,-999
46,1,101.3938904,0.402839184,3.94,1.72,10.84704005151429,-0.606614073298971,1.5566797062680493,-0.3993966049938513,-999,-999,-999,-999,-999,-999,-999,-999
47,1,101.6114502,0.415130138,3.94,1.72,10.882684898575555,-0.6145036799995262,1.782242353063257,-0.39448033502775814,-999,-999,-999,-999,-999,-999,-999,-999
